Unnamed: 0,time,lat,lon,seconds,Noise,Description
0,2019-10-11 11:40:00,4.63688191,-74.08395934,35,0.4,"Biblioteca silenciosa, llamadas de aves"
1,2019-10-11 11:40:35,4.63694236,-74.08449305,41,0.4602059991327962,"Oficina tranquila, lluvias moderadas"
2,2019-10-11 11:41:16,4.6367038,-74.08437741,297,0.4954242509439325,"Oficina tranquila, lluvias moderadas"
3,2019-10-11 11:46:13,4.636407900000001,-74.08483259999998,48,0.5204119982655925,Conversacion normal
4,2019-10-11 11:47:01,4.636560500000001,-74.08473659999999,37,0.5397940008672037,Conversacion normal
5,2019-10-11 11:47:38,4.636507,-74.0847827,31,0.5556302500767287,Conversacion normal
6,2019-10-11 11:48:09,4.63672157,-74.08468319,32,0.5690196080028513,Conversacion normal
7,2019-10-11 11:48:41,4.6365539,-74.08473409999998,38,0.5806179973983887,Conversacion normal
8,2019-10-11 11:49:19,4.636476,-74.0847928,41,0.590848501887865,Conversacion normal
9,2019-10-11 11:50:00,4.6363769,-74.0848311,31,0.6,Conversacion normal
10,2019-10-11 11:50:31,4.6364644,-74.0848244,42,0.608278537031645,"Trafico Ocupado, aspirador"
11,2019-10-11 11:51:13,4.6363316,-74.0849189,47,0.615836249209525,"Trafico Ocupado, aspirador"
12,2019-10-11 11:52:00,4.6364036,-74.0848464,35,0.6227886704613674,"Trafico Ocupado, aspirador"
13,2019-10-11 11:52:35,4.63679964,-74.08460187,33,0.6292256071356476,"Trafico Ocupado, aspirador"
14,2019-10-11 11:53:08,4.63674853,-74.08454232,57,0.6352182518111362,"Trafico Ocupado, aspirador"
15,2019-10-11 11:54:05,4.63667911,-74.08451855,37,0.640823996531185,"Trafico Ocupado, aspirador"
16,2019-10-11 11:54:42,4.636364,-74.084886,32,0.6460897842756548,"Trafico Ocupado, aspirador"
17,2019-10-11 11:55:14,4.6363028,-74.08492059999998,31,0.6510545010206612,"Trafico Ocupado, aspirador"
18,2019-10-11 11:55:45,4.6365105,-74.0847505,30,0.6557507201905658,"Trafico Ocupado, aspirador"
19,2019-10-11 11:56:15,4.6363495000000015,-74.08483249999998,36,0.6602059991327962,"Trafico Ocupado, aspirador"
20,2019-10-11 11:56:51,4.6364756,-74.0848048,49,0.6644438589467839,"Trafico Ocupado, aspirador"
21,2019-10-11 11:57:40,4.6363666,-74.0848573,31,0.6684845361644411,"Trafico Ocupado, aspirador"
22,2019-10-11 11:58:11,4.636416099999999,-74.0848527,49,0.6723455672035186,"Trafico Ocupado, aspirador"
23,2019-10-11 11:59:00,4.636541,-74.0847397,36,0.6760422483423213,"Trafico Ocupado, aspirador"
24,2019-10-11 11:59:36,4.6365277,-74.0847363,39,0.6795880017344075,"Trafico Ocupado, aspirador"
25,2019-10-11 12:00:15,4.6364612,-74.0848007,45,0.6829946695941637,"Trafico Ocupado, aspirador"
26,2019-10-11 12:01:00,4.636346499999998,-74.0848794,31,0.6862727528317975,"Trafico Ocupado, aspirador"
27,2019-10-11 12:01:31,4.636485,-74.0847948,51,0.6894316062684439,"Trafico Ocupado, aspirador"
28,2019-10-11 12:02:22,4.636392,-74.0848171,38,0.6924795995797912,"Trafico Ocupado, aspirador"
29,2019-10-11 12:03:00,4.6363981,-74.0848319,31,0.6954242509439326,"Trafico Ocupado, aspirador"
30,2019-10-11 12:03:31,4.636320099999999,-74.0848745,31,0.6982723387668546,"Trafico Ocupado, aspirador"
31,2019-10-11 12:04:02,4.6363539000000005,-74.08485470000002,37,0.7010299956639813,"Musica de la carga, despertadores"
32,2019-10-11 12:04:39,4.63668609,-74.08451767,31,0.7037027879755775,"Musica de la carga, despertadores"
33,2019-10-11 12:05:10,4.6367969,-74.08468,31,0.7062957834084509,"Musica de la carga, despertadores"
34,2019-10-11 12:05:41,4.636458599999999,-74.08483100000002,31,0.7088136088700552,"Musica de la carga, despertadores"
35,2019-10-11 12:06:12,4.6364608,-74.0848265,39,0.7112605001534574,"Musica de la carga, despertadores"
36,2019-10-11 12:06:51,4.63667951,-74.08455753,51,0.713640344813399,"Musica de la carga, despertadores"
37,2019-10-11 12:07:42,4.6365413,-74.08473719999998,30,0.7159567193233621,"Musica de la carga, despertadores"
38,2019-10-11 12:08:12,4.6364032,-74.0848276,48,0.7182129214052998,"Musica de la carga, despertadores"
39,2019-10-11 12:09:00,4.6364306,-74.08478659999999,31,0.7204119982655925,"Musica de la carga, despertadores"
40,2019-10-11 12:09:31,4.6365587,-74.0846583,36,0.7225567713439471,"Musica de la carga, despertadores"
41,2019-10-11 12:10:07,4.636581700000002,-74.08469609999999,37,0.7246498580795802,"Musica de la carga, despertadores"
42,2019-10-11 12:10:44,4.6363233,-74.0848684,32,0.7266936911159172,"Musica de la carga, despertadores"
43,2019-10-11 12:11:16,4.6364221,-74.084825,45,0.7286905352972375,"Musica de la carga, despertadores"
