,time,lat,lon,seconds,Noise,Description
0,2019-10-18 15:07:41,"4,63733633","-74,0856513",6,0.4,"Biblioteca silenciosa, llamadas de aves"
1,2019-10-18 15:07:47,"4,63746688","-74,08585098",3,0.46020599913279625,"Oficina tranquila, lluvias moderadas"
2,2019-10-18 15:07:50,"4,63743114","-74,08575863",5,0.4954242509439325,"Oficina tranquila, lluvias moderadas"
3,2019-10-18 15:07:55,"4,63744371","-74,08575818",4,0.5204119982655925,Conversacion normal
4,2019-10-18 15:07:59,"4,63747927","-74,08576067",3,0.5397940008672037,Conversacion normal
5,2019-10-18 15:08:02,"4,63749225","-74,08576402",3,0.5556302500767287,Conversacion normal
6,2019-10-18 15:08:05,"4,63750019","-74,0857608",1,0.5690196080028513,Conversacion normal
7,2019-10-18 15:08:06,"4,6375236","-74,08575141",3,0.5806179973983887,Conversacion normal
8,2019-10-18 15:07:58,"4,6374171","-74,0855866",18,0.590848501887865,Conversacion normal
9,2019-10-18 15:08:16,"4,63765913","-74,08580166",3,0.6,Conversacion normal
10,2019-10-18 15:08:19,"4,63769377","-74,08579334",3,0.608278537031645,"Trafico Ocupado, aspirador"
11,2019-10-18 15:08:22,"4,6375114","-74,0855202",2,0.615836249209525,"Trafico Ocupado, aspirador"
12,2019-10-18 15:08:24,"4,63780251","-74,08566537",1,0.6227886704613674,"Trafico Ocupado, aspirador"
13,2019-10-18 15:08:25,"4,63781296","-74,08566033",5,0.6292256071356476,"Trafico Ocupado, aspirador"
14,2019-10-18 15:08:23,"4,6375139","-74,0854963",12,0.6352182518111362,"Trafico Ocupado, aspirador"
15,2019-10-18 15:08:35,"4,6378781","-74,08558546",1,0.640823996531185,"Trafico Ocupado, aspirador"
16,2019-10-18 15:08:36,"4,63787961","-74,08556461",5,0.6460897842756548,"Trafico Ocupado, aspirador"
17,2019-10-18 15:08:29,"4,6375512","-74,0853549",17,0.6510545010206612,"Trafico Ocupado, aspirador"
18,2019-10-18 15:08:46,"4,63783054","-74,08542559",1,0.6557507201905658,"Trafico Ocupado, aspirador"
19,2019-10-18 15:08:47,"4,63782651","-74,08540349",5,0.6602059991327962,"Trafico Ocupado, aspirador"
20,2019-10-18 15:08:52,"4,63784174","-74,0853647",1,0.6644438589467839,"Trafico Ocupado, aspirador"
21,2019-10-18 15:08:53,"4,6378393","-74,0853519",3,0.6684845361644411,"Trafico Ocupado, aspirador"
22,2019-10-18 15:08:56,"4,637772","-74,0852335",3,0.6723455672035186,"Trafico Ocupado, aspirador"
23,2019-10-18 15:08:59,"4,63776062","-74,08532921",2,0.6760422483423213,"Trafico Ocupado, aspirador"
24,2019-10-18 15:09:01,"4,63774883","-74,08530699",2,0.6795880017344075,"Trafico Ocupado, aspirador"
25,2019-10-18 15:09:03,"4,63773829","-74,08528356",5,0.6829946695941637,"Trafico Ocupado, aspirador"
26,2019-10-18 15:09:08,"4,63777631","-74,0852758",1,0.6862727528317975,"Trafico Ocupado, aspirador"
27,2019-10-18 15:09:09,"4,63777716","-74,08523868",5,0.6894316062684439,"Trafico Ocupado, aspirador"
28,2019-10-18 15:09:14,"4,6377535","-74,08519408",1,0.6924795995797912,"Trafico Ocupado, aspirador"
29,2019-10-18 15:09:15,"4,63774856","-74,08519045",3,0.6954242509439326,"Trafico Ocupado, aspirador"
30,2019-10-18 15:09:18,"4,63774405","-74,08517959",3,0.6982723387668546,"Trafico Ocupado, aspirador"
31,2019-10-18 15:09:21,"4,6376225","-74,0851407",2,0.7010299956639813,"Musica de la carga, despertadores"
32,2019-10-18 15:09:23,"4,63761608","-74,08512718",3,0.7037027879755775,"Musica de la carga, despertadores"
33,2019-10-18 15:09:26,"4,6378166","-74,0850618",3,0.706295783408451,"Musica de la carga, despertadores"
34,2019-10-18 15:09:29,"4,63764514","-74,08499955",2,0.7088136088700552,"Musica de la carga, despertadores"
35,2019-10-18 15:09:31,"4,63763534","-74,08496759",5,0.7112605001534574,"Musica de la carga, despertadores"
36,2019-10-18 15:09:26,"4,6378046","-74,0850657",15,0.713640344813399,"Musica de la carga, despertadores"
37,2019-10-18 15:09:41,"4,63765429","-74,08482202",3,0.715956719323362,"Musica de la carga, despertadores"
38,2019-10-18 15:09:44,"4,63753305","-74,08477472",3,0.7182129214052998,"Musica de la carga, despertadores"
39,2019-10-18 15:09:35,"4,6378286","-74,0850206",17,0.7204119982655925,"Musica de la carga, despertadores"
40,2019-10-18 15:09:52,"4,63757933","-74,08465366",1,0.7225567713439471,"Musica de la carga, despertadores"
41,2019-10-18 15:09:53,"4,63757751","-74,08463962",5,0.7246498580795802,"Musica de la carga, despertadores"
42,2019-10-18 15:09:35,"4,6378305","-74,0849972",28,0.7266936911159172,"Musica de la carga, despertadores"
